ticker,fecha,hora,spot,open,var,close,,,,,,,dias_vto
,,,6650.0,,5.38,,,,,,,,24
GGALC4374,,,2325.67,,,4374,GGALV4374,,,3.99,,,
GGALC4574,,,2128.89,,,4574,GGALV4574,,,5.00,,,
GGALC4774,,,1985.00,,,4774,GGALV4774,,,6.65,,,
GGALC4974,,,1735.34,,,4974,GGALV4974,,,11.00,,,
GGALC5174,,,1591.00,,,5174,GGALV5174,,,18.50,,,
GGALC5374,,,1321.84,,,5374,GGALV5374,,,27.00,,,
GGALC5574,,,1020.00,,,5574,GGALV5574,,,36.10,,,
GGALC5774,,,830.00,,,5774,GGALV5774,,,57.00,,,
GGALC5950,,,789.01,,,5950,GGALV5950,,,81.00,,,
GGALC6126,,,700.00,,,6126,GGALV6126,,,109.10,,,
GGALC6374,,,507.01,,,6374,GGALV6374,,,169.00,,,
GGALC6574,,,384.99,,,6574,GGALV6574,,,240.00,,,
GGALC6774,,,280.00,,,6774,GGALV6774,,,325.00,,,
GGALC6902,,,211.00,,,6902,GGALV6902,,,379.51,,,
GGALC7174,,,123.74,,,7174,GGALV7174,,,556.00,,,
GGALC7326,,,84.10,,,7326,GGALV7326,,,632.96,,,
GGALC7502,,,51.80,,,7502,GGALV7502,,,920.50,,,
GGALC7726,,,33.00,,,7726,GGALV7726,,,1130.20,,,
GGALC7926,,,22.22,,,7926,GGALV7926,,,1318.62,,,
GGALC8202,,,13.03,,,8202,GGALV8202,,,1600.00,,,
GGALC8550,,,9.50,,,8550,GGALV8550,,,,,,
GGALC8826,,,6.80,,,8826,GGALV8826,,,,,,
GGALC9150,,,5.30,,,9150,GGALV9150,,,,,,
GGALC9450,,,4.50,,,9450,GGALV9450,,,,,,
GGALC9680,,,4.78,,,9680,GGALV9680,,,,,,
GGALC10126,,,3.67,,,10126,GGALV10126,,,,,,
GGALC10600,,,,,,10600,GGALV10600,,,,,,
GGALC10950,,,3.05,,,10950,GGALV10950,,,,,,
GGALC11350,,,2.80,,,11350,GGALV11350,,,,,,
GGALC11775,,,2.72,,,11775,GGALV11775,,,,,,
