ticker,fecha,hora,spot,open,var,close,,,,,,,dias_vto
,,,5235.00,,1.55,,,,,,,29
PAMPC3100L,,,,,,3100,PAMPV3100L,,,,,,
PAMPC3200L,,,,,,3200,PAMPV3200L,,,,,,
PAMPC3300L,,,,,,3300,PAMPV3300L,,,,,,
PAMPC3400L,,,,,,3400,PAMPV3400L,,,,,,
PAMPC3500L,,,,,,3500,PAMPV3500L,,,,,,
PAMPC3700L,,,,,,3700,PAMPV3700L,,,,,,
PAMPC3900L,,,,,,3900,PAMPV3900L,,,,,,
PAMPC4100L,,,,,,4100,PAMPV4100L,,,,,,
PAMPC4300L,,,,,,4300,PAMPV4300L,,,,,,
PAMPC4500L,,,,,,4500,PAMPV4500L,,,,,,
PAMPC4700L,,,,,,4700,PAMPV4700L,,,,,,
PAMPC5000L,,,,,,5000,PAMPV5000L,,,,,,
PAMPC5300L,,,,,,5300,PAMPV5300L,,,,,,
PAMPC5600L,,,,,,5600,PAMPV5600L,,,,,,
PAMPC5900L,,,,,,5900,PAMPV5900L,,,,,,
PAMPC6200L,,,,,,6200,PAMPV6200L,,,,,,
PAMPC6500L,,,,,,6500,PAMPV6500L,,,,,,
PAMPC6800L,,,,,,6800,PAMPV6800L,,,,,,
PAMPC7100L,,,,,,7100,PAMPV7100L,,,,,,
PAMPC7400L,,,,,,7400,PAMPV7400L,,,,,,
PAMPC7700L,,,,,,7700,PAMPV7700L,,,,,,
